country,gas,year,emission,population,per_capital,emission_per_capital,emission_per_pop,change_in_emission
Turkiye,SF6E,1999,12357.599999999999,63808001,4057.82208493623,3.0453774811554366,1.9366850248137376e-4,3.831417624521057
Turkiye,SF6E,2000,13338,66266714,4278.26653426387,3.1176178232885556,2.0127752222631713e-4,7.933579335793371
Turkiye,SF6E,2001,13155.600000000002,65603160,3100.45878215444,4.24311397904102,2.0053302310437488e-4,-1.3675213675213511
Turkiye,SF6E,2002,13953.6,66401851,3640.76183390178,3.8326044483514106,2.1013872037994844e-4,6.0658578856152365
Turkiye,SF6E,2003,15162,67187251,4704.77200659487,3.2226853881010196,2.256678130795975e-4,8.660130718954246
Turkiye,SF6E,2004,16438.8,68010221,6031.79031161189,2.7253599927625833,2.4171072756843414e-4,8.421052631578943
Turkiye,SF6E,2005,17669.999999999996,68860539,7369.43129178444,2.397742688733498,2.566056010685597e-4,7.489597780859899
Turkiye,SF6E,2006,19402.8,69729967,8003.81217867591,2.424194817026535,2.782562624760743e-4,9.806451612903244
Turkiye,SF6E,2007,21044.399999999998,70586256,9668.39944528631,2.176616731558386,2.98137359771568e-4,8.460634547591061
Turkiye,SF6E,2008,21979.199999999997,71517100,10802.6004748022,2.0346212054465935,3.0732789780346236e-4,4.442036836403031
Turkiye,SF6E,2009,21295.2,72561312,8989.73588674078,2.368834887731118,2.934787066694715e-4,-3.1120331950207305
Turkiye,SF6E,2010,65481.6,73722988,10614.9845680831,6.168788996348485,8.882114219244613e-4,207.49464668094214
Turkiye,SF6E,2011,67374.00000000001,74625134.5,11308.3717359255,5.957886915404448,9.028325436384977e-4,2.889972144846821
Turkiye,SF6E,2012,68582.4,75627384,11697.4743628202,5.863009216586574,9.068461233565873e-4,1.7935702199661285
Turkiye,SF6E,2013,69015.6,76667864,12507.8031572004,5.517803496952989,9.001894196504549e-4,0.6316489361702298
Turkiye,SF6E,2014,74875.20000000001,77695904,12020.3496610279,6.229036767770463,9.63695589409707e-4,8.490254377271233
Turkiye,SF6E,2015,81829.2,78741053,10851.9201055956,7.540527317170923,0.0010392190208581538,9.287454323995108
Turkiye,SF6E,2016,79526.40000000001,79814871,10734.2564703539,7.4086547325972445,9.963857487159254e-4,-2.814154360546099
Turkiye,SF6E,2017,122793.95999999999,80561611.5,10464.0077882503,11.734888054831288,0.0015242242268204875,54.406536697247674
Turkiye,SF6E,2018,134314.80000000002,81671441,9400.83633803764,14.287537317986892,0.0016445748765471155,9.382253003323637
Turkiye,SF6E,2019,156020.4,82765998.5,9103.01239655239,17.139425192817495,0.001885078448005433,16.16024444067219
Turkiye,SF6E,2020,171501.6,83614362,8561.06433280619,20.032742814792552,0.0020511021778770494,9.922548589799804
Turkiye,SF6E,2021,144050.4,84680273,9661.22773420424,14.910154688726516,0.0017011093008639686,-16.006381281574058
Ukraine,SF6E,1990,7.63179908399999,51838500,1811.79566358533,0.004212284661779993,1.4722260644115842e-7,-99.99470199382718
Ukraine,SF6E,1991,19.079497824,51944400,1707.38749969665,0.011174673486475589,3.6730615473467783e-7,150.00000149375035
Ukraine,SF6E,1992,30.527196564,52056600,1569.19383849828,0.019454063491107357,5.864231733151993e-7,60.000000238999995
Ukraine,SF6E,1993,59.146443528,52244100,1378.10903200687,0.04291855154730976,1.132117186974223e-6,93.75000060683594
Ukraine,SF6E,1994,64.870292784,52114400,1090.86391857428,0.05946689745571854,1.244767142747494e-6,9.677419155879296
Ukraine,SF6E,1995,67.73221764,51728400,986.577383148465,0.06865373035802437,1.3093816479922054e-6,4.411764974653982
Ukraine,SF6E,1996,69.640167468,51297100,911.687211715807,0.07638603083719504,1.3575848823422766e-6,2.816901460603054
Ukraine,SF6E,1997,127.83263596800002,50609220.5,1035.25256310012,0.1234796614124753,2.5258764056245446e-6,83.56164353961346
Ukraine,SF6E,1998,193.65690378,50172144,871.919769285102,0.22210404053435068,3.859849078404941e-6,51.492537342715494
Ukraine,SF6E,1999,307.17991637999995,49731454,663.128253377954,0.4632285154722866,6.1767732827598395e-6,58.62068967547136
Ukraine,SF6E,2000,420.512133792,49240416.666666664,662.341330293939,0.6348873527270024,8.539979193081564e-6,36.894409877956114
Ukraine,SF6E,2001,463.15481168400004,48610852.5,811.928792745526,0.5704377228917433,9.527806814003108e-6,10.140653376031384
Ukraine,SF6E,2002,1069.501255212,48239796.5,916.201259212254,1.1673213111839125,2.2170517556225595e-5,130.91658085627236
Ukraine,SF6E,2003,1991.2317990840002,47818028.375,1092.52494503657,1.8225961870530543,4.1641863262707144e-5,86.18321291163812
Ukraine,SF6E,2004,3078,47446852.375,1422.2404149289,2.164191066215675,6.487258576549568e-5,54.577684095640265
Ukraine,SF6E,2005,4467.082845131999,47102816.5,1902.23620298522,2.3483323669908662,9.48368521685322e-5,45.12939717777776
Ukraine,SF6E,2006,4273.9983264600005,46768477.875,2401.34395020628,1.7798359648116446,9.138630378100584e-5,-4.3223849963385534
Ukraine,SF6E,2007,5198.20920504,46487523,3211.4879840424,1.6186295047247388,1.1181944895278674e-4,21.624034638906604
Ukraine,SF6E,2008,9338.078661168,46225249,4083.76860075012,2.286632660688157,2.0201251184537696e-4,79.64030097353775
Ukraine,SF6E,2009,9365.648535624001,46036957.75,2650.28029993595,3.53383320845359,2.0343760737804185e-4,0.29524140303775215
Ukraine,SF6E,2010,9710.033472852001,45826666.5,2977.30930051834,3.2613452257585447,2.118860963376422e-4,3.6771072063837056
Ukraine,SF6E,2011,8416.40454,45652132.5,3584.67247611344,2.3478866189541536,1.8435950478326503e-4,-13.32260013797914
Ukraine,SF6E,2012,10989.6204573,45523312,3871.29143470685,2.838747906906724,2.4140643495578704e-4,30.5738145673782
Ukraine,SF6E,2013,12543.122357628,45411677.333333336,4045.9475540043,3.1001692904333358,2.762091843813271e-4,14.136083282986059
Ukraine,SF6E,2014,16725.665655144,45336071.5,2957.02235769679,5.656252686628834,3.689262236835849e-4,33.3453121022328
Ukraine,SF6E,2015,19642.07168958,42802284,2023.69453109466,9.706045743452782,4.589024195433122e-4,17.436711306847485
Ukraine,SF6E,2016,24371.530290108003,42631704,2082.27609489804,11.704274159331101,5.716761940856974e-4,24.07820659282571
Ukraine,SF6E,2017,28557.0307173,42450188.75,2510.01766224465,11.37722301593771,6.727185804868771e-4,17.173728433830934
Ukraine,SF6E,2018,33445.186885847994,42301584.5,2944.88316768618,11.357050511489787,7.906367404712226e-4,17.117172359193223
Ukraine,SF6E,2019,38788.661336676,42068382.5,3480.64324137582,11.14410717983947,9.220383345301189e-4,15.976811458897977
Ukraine,SF6E,2020,43350.243549744,41732779,3566.81646784227,12.153763430381531,0.0010387576525815354,11.76009188219876
Ukraine,SF6E,2021,48942.32218341601,41418717,4596.34917496562,10.648086191968236,0.0011816474707175503,12.899762898114162
United States of America,SF6E,1990,30520384.211503264,249166343.5,24036.8199556108,1269.7346931859443,0.12248999516864228,62259.902125455395
United States of America,SF6E,1991,29227750.700600766,252980941,24479.7438914311,1193.956555682417,0.11553340969113071,-4.2353120522489975
United States of America,SF6E,1992,29432345.27542241,256514224,25552.3399147909,1151.8454033395815,0.11473962268627415,0.7000010945674249
United States of America,SF6E,1993,28943717.613604654,259918588,26503.4606474796,1092.0731446577004,0.11135685922395305,-1.660172362226893
United States of America,SF6E,1994,27554585.260934047,263125821,27784.863995589,991.712079832692,0.10472018730892263,-4.799426152560516
United States of America,SF6E,1995,26251217.525804337,266278393,28757.5585741076,912.8458334929762,0.09858560895627884,-4.730130113689574
United States of America,SF6E,1996,25610156.84405219,269394284,30013.3524126592,853.2921111888253,0.09506570244843128,-2.4420226647468732
United States of America,SF6E,1997,23891184.110945977,272646925,31489.337938178,758.7070950126283,0.08762682399937567,-6.712074211702595
United States of America,SF6E,1998,20986234.37340599,275854104,32855.933469622,638.7349911336252,0.07607729618336942,-12.159086481649343
United States of America,SF6E,1999,20717304.332976222,279040168,34497.8775659272,600.5385198954457,0.07424488195182072,-1.281459244401457
United States of America,SF6E,2000,17993831.309169695,281792158.5,36299.5909674523,495.7034178512838,0.06385497525890059,-13.14588510181564
United States of America,SF6E,2001,17275333.313214596,284968955,37068.3810042672,466.0395961513915,0.06062180813069479,-3.9930239625451542
United States of America,SF6E,2002,16493578.123785464,287625193,37902.1968047387,435.1615345346781,0.0573439967193189,-4.525268342180907
